month,order_date,identifier,order_num,sub_order_num,quantity,order_status,manifesttime,sup_name,state,pin,reseller_state,reseller_pin,end_customer_state,end_customer_pin,gstin,hsn_code,gst_amount,gst_rate,meesho_price,net_commission,commission_gst,adj,shipping_charges_total,gst,taxable_shipping,shipping_gst_18_percent,meesho_price_plus_shipping_charges_total,tcs_taxable_amount,end_customer_state_new,financial_year,month_number,supplier_id
2023-06-01,2023-06-07,8icvx,529058424637,529058424637_1,1,Delivered,2023-06-07,AFLOAT,Gujarat,383315,Karnataka,null,Karnataka,571415,24ABVFA4063H1ZA,540710,10.44000000000000,5.00,219,0.000000000000000000,0.00000000000000,0,78,1.050000,74.2857142857143,13.371428571428570,297,282.8571428571428,KARNATAKA,2023,6,188451
2023-06-01,2023-06-24,8icvx,768793074075,768793074075_1,1,Shipped,2023-06-24,AFLOAT,Gujarat,383315,Bihar,201102,Bihar,811201,24ABVFA4063H1ZA,540710,10.34000000000000,5.00,217,0.000000000000000000,0.00000000000000,0,80,1.050000,76.1904761904762,13.714285714285714,297,282.8571428571428,UTTAR PRADESH,2023,6,188451
2023-06-01,2023-06-10,8icvx,216099796366,216099796366_1,1,rto,2023-06-10,AFLOAT,Gujarat,383315,Andhra Pradesh,523272,Andhra Pradesh,523274,24ABVFA4063H1ZA,500720,13.90000000000000,5.00,292,0.000000000000000000,0.00000000000000,88,0,1.050000,83.8095238095238,15.085714285714285,292,278.0952380952381,ANDHRA PRADESH,2023,6,188451
2023-06-01,2023-06-18,8icvx,571900368595,571900368595_1,1,Delivered,2023-06-18,AFLOAT,Gujarat,383315,Tamil Nadu,null,Tamil Nadu,631605,24ABVFA4063H1ZA,500720,13.96000000000000,5.00,293,0.000000000000000000,0.00000000000000,89,0,1.050000,84.7619047619048,15.257142857142856,293,279.0476190476190,TAMIL NADU,2023,6,188451
2023-06-01,2023-06-11,8icvx,997820932737,997820932737_1,1,Delivered,2023-06-12,AFLOAT,Gujarat,383315,Gujarat,360311,Gujarat,382421,24ABVFA4063H1ZA,5407,15.06000000000000,5.00,316,0.000000000000000000,0.00000000000000,102,0,1.050000,88.5714285714286,15.942857142857141,307,292.3809523809524,GUJARAT,2023,6,188451
2023-06-01,2023-06-09,8icvx,594012004415,594012004415_1,1,rto,2023-06-09,AFLOAT,Gujarat,383315,Maharashtra,null,Maharashtra,440036,24ABVFA4063H1ZA,540710,10.44000000000000,5.00,219,0.000000000000000000,0.00000000000000,0,80,1.050000,76.1904761904762,13.714285714285714,299,284.7619047619048,MAHARASHTRA,2023,6,188451
2023-06-01,2023-06-26,8icvx,171249327207,171249327207_1,1,Delivered,2023-06-26,AFLOAT,Gujarat,383315,Andhra Pradesh,600116,Andhra Pradesh,516233,24ABVFA4063H1ZA,540710,10.38000000000000,5.00,218,0.000000000000000000,0.00000000000000,0,65,1.050000,61.9047619047619,11.142857142857142,283,269.5238095238095,TAMIL NADU,2023,6,188451
2023-06-01,2023-06-29,8icvx,666474969175,666474969175_1,1,Shipped,2023-06-29,AFLOAT,Gujarat,383315,West Bengal,null,West Bengal,743262,24ABVFA4063H1ZA,500720,14.10000000000000,5.00,296,0.000000000000000000,0.00000000000000,65,0,1.050000,61.9047619047619,11.142857142857142,296,281.9047619047619,WEST BENGAL,2023,6,188451
2023-06-01,2023-06-27,8icvx,856242169250,856242169250_1,1,Shipped,2023-06-27,AFLOAT,Gujarat,383315,Andhra Pradesh,null,Andhra Pradesh,516293,24ABVFA4063H1ZA,500720,13.96000000000000,5.00,293,0.000000000000000000,0.00000000000000,90,0,1.050000,85.7142857142857,15.428571428571427,293,279.0476190476190,ANDHRA PRADESH,2023,6,188451
2023-06-01,2023-06-22,8icvx,859030529265,859030529265_1,1,rto,2023-06-22,AFLOAT,Gujarat,383315,Jharkhand,null,Jharkhand,822114,24ABVFA4063H1ZA,500720,15.86000000000000,5.00,333,0.000000000000000000,0.00000000000000,104,0,1.050000,99.0476190476190,17.828571428571426,333,317.1428571428571,JHARKHAND,2023,6,188451
2023-06-01,2023-06-25,8icvx,866351397315,866351397315_1,1,Shipped,2023-06-25,AFLOAT,Gujarat,383315,Delhi,null,Delhi,110052,24ABVFA4063H1ZA,540710,10.30000000000000,5.00,216,0.000000000000000000,0.00000000000000,0,80,1.050000,76.1904761904762,13.714285714285714,296,281.9047619047619,DELHI,2023,6,188451
2023-06-01,2023-06-08,8icvx,510649371823,510649371823_1,1,rto,2023-06-08,AFLOAT,Gujarat,383315,Telangana,502313,Telangana,502296,24ABVFA4063H1ZA,500720,12.96000000000000,5.00,272,0.000000000000000000,0.00000000000000,64,0,1.050000,60.9523809523810,10.971428571428570,272,259.0476190476190,TELANGANA,2023,6,188451
2023-06-01,2023-06-29,8icvx,282689611814,282689611814_1,1,Shipped,2023-06-29,AFLOAT,Gujarat,383315,Andhra Pradesh,null,Andhra Pradesh,501101,24ABVFA4063H1ZA,500720,13.00000000000000,5.00,273,0.000000000000000000,0.00000000000000,63,0,1.050000,60.0000000000000,10.799999999999999,273,260.0000000000000,TELANGANA,2023,6,188451
2023-06-01,2023-06-30,8icvx,457536237730,457536237730_1,1,Shipped,2023-06-30,AFLOAT,Gujarat,383315,Maharashtra,440035,Maharashtra,440035,24ABVFA4063H1ZA,540710,9.58000000000000,5.00,201,0.000000000000000000,0.00000000000000,0,64,1.050000,60.9523809523810,10.971428571428570,265,252.3809523809524,MAHARASHTRA,2023,6,188451
2023-06-01,2023-06-15,8icvx,587344422963,587344422963_1,1,Delivered,2023-06-15,AFLOAT,Gujarat,383315,Andhra Pradesh,516390,Andhra Pradesh,516390,24ABVFA4063H1ZA,500720,14.30000000000000,5.00,300,0.000000000000000000,0.00000000000000,65,0,1.050000,61.9047619047619,11.142857142857142,300,285.7142857142857,ANDHRA PRADESH,2023,6,188451
