month,order_date,identifier,order_num,sub_order_num,order_status,manifesttime,sup_name,state,pin,reseller_state,reseller_pin,gstin,hsn_code,gst_amount,gst_rate,end_customer_pin,end_customer_state,meesho_price,net_commission,commission_gst,adj,shipping_charges_total,quantity,penalty,cancel_return_date,gst,taxable_shipping,shipping_gst_18_percent,meesho_price_plus_shipping_charges_total,tcs_taxable_amount,end_customer_state_new,financial_year,month_number,supplier_id
2023-06-01,2023-06-15,8icvx,669905742594,669905742594_1,rto,2023-06-15,AFLOAT,Gujarat,383315,Tamil Nadu,null,24ABVFA4063H1ZA,500720,13.06000000000000,5.00,603111,Tamil Nadu,274,0.000000000000000000,0.00000000000000,63,0,1,0.0,2023-06-26,1.050000,60.0000000000000,10.799999999999999,274,260.9523809523810,TAMIL NADU,2023,6,188451
2023-05-01,2023-05-29,8icvx,497556420298,497556420298_1,rto,2023-05-29,AFLOAT,Gujarat,383315,Jharkhand,622201,24ABVFA4063H1ZA,540710,10.44000000000000,5.00,622202,Jharkhand,219,0.000000000000000000,0.00000000000000,0,79,1,0.0,2023-06-08,1.050000,75.2380952380952,13.542857142857143,298,283.8095238095238,TAMIL NADU,2023,6,188451
2023-06-01,2023-06-10,8icvx,161009724179,161009724179_1,rto,2023-06-11,AFLOAT,Gujarat,383315,Andhra Pradesh,null,24ABVFA4063H1ZA,540710,15.14000000000000,5.00,522660,Andhra Pradesh,318,0.000000000000000000,0.00000000000000,99,0,1,0.0,2023-06-22,1.050000,94.2857142857143,16.971428571428568,318,302.8571428571428,ANDHRA PRADESH,2023,6,188451
2023-06-01,2023-06-01,8icvx,648427093253,648427093253_1,rto,2023-06-01,AFLOAT,Gujarat,383315,Karnataka,null,24ABVFA4063H1ZA,540710,15.44000000000000,5.00,562130,Karnataka,324,0.000000000000000000,0.00000000000000,105,0,1,0.0,2023-06-09,1.050000,100.0000000000000,18.000000000000000,324,308.5714285714286,KARNATAKA,2023,6,188451
2023-06-01,2023-06-08,8icvx,292088655806,292088655806_1,rto,2023-06-08,AFLOAT,Gujarat,383315,Uttar Pradesh,null,24ABVFA4063H1ZA,540710,10.44000000000000,5.00,245409,Uttar Pradesh,219,0.000000000000000000,0.00000000000000,0,79,1,0.0,2023-06-12,1.050000,75.2380952380952,13.542857142857143,298,283.8095238095238,UTTAR PRADESH,2023,6,188451
2023-06-01,2023-06-18,8icvx,923495256182,923495256182_1,rto,2023-06-18,AFLOAT,Gujarat,383315,Maharashtra,null,24ABVFA4063H1ZA,500720,13.96000000000000,5.00,431001,Maharashtra,293,0.000000000000000000,0.00000000000000,89,0,1,0.0,2023-06-25,1.050000,84.7619047619048,15.257142857142856,293,279.0476190476190,MAHARASHTRA,2023,6,188451
2023-05-01,2023-05-22,8icvx,886610743021,886610743021_1,rto,2023-05-22,AFLOAT,Gujarat,383315,Andhra Pradesh,null,24ABVFA4063H1ZA,540710,10.44000000000000,5.00,534450,Andhra Pradesh,219,0.000000000000000000,0.00000000000000,0,79,1,0.0,2023-06-05,1.050000,75.2380952380952,13.542857142857143,298,283.8095238095238,ANDHRA PRADESH,2023,6,188451
2023-06-01,2023-06-21,8icvx,280800282263,280800282263_1,rto,2023-06-21,AFLOAT,Gujarat,383315,Tamil Nadu,620001,24ABVFA4063H1ZA,540710,10.34000000000000,5.00,620001,Tamil Nadu,217,0.000000000000000000,0.00000000000000,0,80,1,0.0,2023-06-29,1.050000,76.1904761904762,13.714285714285714,297,282.8571428571428,TAMIL NADU,2023,6,188451
2023-06-01,2023-06-02,8icvx,662375308865,662375308865_1,Return,2023-06-03,AFLOAT,Gujarat,383315,Chhattisgarh,null,24ABVFA4063H1ZA,540710,10.44000000000000,5.00,493662,Chhattisgarh,219,0.000000000000000000,0.00000000000000,0,79,1,0.0,2023-06-12,1.050000,75.2380952380952,13.542857142857143,298,283.8095238095238,CHHATTISGARH,2023,6,188451
2023-05-01,2023-05-27,8icvx,254362042306,254362042306_1,rto,2023-05-28,AFLOAT,Gujarat,383315,Tamil Nadu,604504,24ABVFA4063H1ZA,500720,14.34000000000000,5.00,604504,Tamil Nadu,301,0.000000000000000000,0.00000000000000,64,0,1,0.0,2023-06-06,1.050000,60.9523809523810,10.971428571428570,301,286.6666666666666,TAMIL NADU,2023,6,188451
2023-06-01,2023-06-21,8icvx,442311576871,442311576871_1,Return,2023-06-21,AFLOAT,Gujarat,383315,Bihar,535128,24ABVFA4063H1ZA,500720,14.00000000000000,5.00,535128,Bihar,294,0.000000000000000000,0.00000000000000,90,0,1,0.0,2023-06-28,1.050000,85.7142857142857,15.428571428571427,294,280.0000000000000,ANDHRA PRADESH,2023,6,188451
2023-06-01,2023-06-07,8icvx,812169775254,812169775254_1,Return,2023-06-07,AFLOAT,Gujarat,383315,Andhra Pradesh,533124,24ABVFA4063H1ZA,500720,13.76000000000000,5.00,533126,Andhra Pradesh,289,0.000000000000000000,0.00000000000000,88,0,1,0.0,2023-06-15,1.050000,83.8095238095238,15.085714285714285,289,275.2380952380952,ANDHRA PRADESH,2023,6,188451
